"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"p",0.539022983333333,0.114703036796422,0.3045,0.4619,0.5431,0.6215,0.7488,1.00095226190814,30000
"pred.fish",0.407133196333333,0.113582597493903,0.2133,0.3266,0.3978,0.4772,0.655507498327162,1.00111534485289,12000
"prev",0.401295383333333,0.0717964104476783,0.3462,0.3462,0.3846,0.4231,0.5769,1.0010371307056,23000
"rss",7.79020146666667,1.28890918417113,6.301,6.607,7.509,8.478,10.92,1.00105170494264,19000
"rss_sim",7.36167846333333,1.48588441125052,4.62397499736392,6.537,7.251,8.186,10.71,1.00112153779397,12000
"deviance",41.9838936666667,7.21419426288586,34.65,35.48,40.22,45.25,60.3902499798209,1.00104479995687,21000
