"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"pred_organ_psi[1]",0.279126443227374,0.371989617886667,0.00000897000020764981,0.00293195606086897,0.030254236067037,0.69027499864178,0.994689998039091,1.00083535461855,1000
"pred_organ_psi[2]",0.258843723162448,0.364805060093973,0.00000957295060712815,0.00252586743463935,0.0252149995042633,0.585374959950158,0.991839929113798,1.00462531343689,400
"pred_organ_psi[3]",0.289898460109491,0.379390126362939,0.00000352012491352191,0.00268899777089664,0.0327799023793543,0.719298308032509,0.9923,0.999633782038214,1000
"pred_organ_psi[4]",0.859694710578842,0.0687499703530302,0.706964883733833,0.820099926861968,0.868899976982391,0.9125,0.964292498862284,1.00143084131583,1000
"pred_organ_psi[5]",0.823734431137725,0.0767679671565192,0.653392245557334,0.780474989190661,0.8354499985038,0.8794,0.945092498839166,1.00150267658817,1000
"pred_organ_p[1]",0.365464530861338,0.409283287702392,0.0000107413958349309,0.00281712206957111,0.073528965721,0.862449891256008,0.996497499877689,0.999942838247613,1000
"pred_organ_p[2]",0.395502745172635,0.419898288450379,0.0000133074187326869,0.00254307606394773,0.120949906986322,0.8869,0.997497499877812,1.00133056092158,1000
"pred_organ_p[3]",0.37206237017001,0.414919202069755,0.00000537448238492854,0.00255524703166004,0.0690188981366698,0.874249995710282,0.997892498900599,1.00003265837914,1000
"pred_organ_p[4]",0.887341516966068,0.039703422914191,0.798547444986754,0.8648,0.8925,0.9152,0.9481,1.0046110883626,470
"pred_organ_p[5]",0.911863473053892,0.0357588971360888,0.829457422408468,0.8906,0.915849998635148,0.938874999001429,0.967,1.00484103250464,380
"pred.fish",0.931221556886228,0.0449949555877424,0.815102499850491,0.908949995874663,0.940099994681417,0.965674999029143,0.989987496921325,1.00861702863102,610
"prev",0.973949101796407,0.0180176099947161,0.9615,0.9615,0.9615,1,1,1.00231472034718,710
"prev_org[1]",0.264623852295409,0.369080072455891,0,0,0,0.6538,0.9615,1.00109834369696,1000
"prev_org[2]",0.242668103792415,0.361038159667176,0,0,0,0.5385,0.9615,1.00706426773425,320
"prev_org[3]",0.277867405189621,0.378539602463494,0,0,0,0.6923,0.9615,1.0001372955165,1000
"prev_org[4]",0.848959780439122,0.0106417058429769,0.8462,0.8462,0.8462,0.8462,0.8846,0.999741438993484,1000
"prev_org[5]",0.808852594810379,0.00678523682819386,0.8077,0.8077,0.8077,0.8077,0.8462,1.02169942177358,1000
"rss",11.5960978043912,0.957899822708421,10.87,10.95,11.15,11.82,14.1994996563715,0.999815381043858,1000
"rss_sim",11.8867165668663,4.05314052647791,4.87524975033709,9.11374990743026,11.65,14.392494133494,20.67,1.00857731627878,240
"y.sim[1,1,1]",0.00399201596806387,0.0630876523912842,0,0,0,0,0,1.02859268219776,1000
"y.sim[1,1,2]",0.00399201596806387,0.0630876523912842,0,0,0,0,0,1.10491469372745,1000
"y.sim[1,1,3]",0,0,0,0,0,0,0,1,1
"y.sim[1,2,1]",0.000998003992015968,0.0315912011803282,0,0,0,0,0,1.29072446123633,1000
"y.sim[1,2,2]",0,0,0,0,0,0,0,1,1
