"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"p[1]",0.486228796107784,0.285919445843854,0.0226562699139678,0.22722489692891,0.489449997446113,0.738774205983433,0.96845746359047,1.00601913510768,570
"p[2]",0.467137630439122,0.285975994793481,0.0245212487590575,0.22204957843012,0.460649975577987,0.697824837355851,0.960854958854964,0.999859845324989,1000
"p[3]",0.493931419870259,0.288234087398864,0.018483554222603,0.245249984713635,0.504099513985086,0.743949389477844,0.965289997979351,1.00835182491137,410
"p[4]",0.470430983033932,0.28412127011871,0.0238449796634119,0.218499931391967,0.455799824484389,0.711074893162383,0.956572484572394,0.999651336757504,1000
"p[5]",0.498610957984032,0.286190339320309,0.0296214137858546,0.260148260709276,0.488549936035202,0.738174632680957,0.980487496891486,1.00245826377114,1000
"psi[1]",0.490957505988024,0.291162882507212,0.0243617475531192,0.239774527621981,0.480549789303876,0.751274219209272,0.971,1.00091730595017,1000
"psi[2]",0.491533454091816,0.2799468080397,0.0263989812334714,0.2596,0.493249997465788,0.71097489314735,0.973674987474842,1.00039002964116,1000
"psi[3]",0.487105991417166,0.282601619403181,0.0219935030021302,0.251221873632462,0.479049559022864,0.730999671442818,0.968987496854582,1.00312368038384,1000
"psi[4]",0.502508801497006,0.289487164766292,0.0264204384031524,0.249674546325079,0.509549938671373,0.75654987602758,0.974182493867069,1.00668152456518,370
"psi[5]",0.475774202195609,0.283164544189792,0.0246118872989747,0.226099933696761,0.460149997283495,0.720774998699257,0.973372484838858,1.00590700112672,1000
"prev",0.0129730538922156,0.0449931146298075,0,0,0,0,0.1538,1.05669089836625,390
"z[1,1]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.1043967669635,1000
"z[1,2]",0.0029940119760479,0.0546628752823863,0,0,0,0,0,1.13338957087242,1000
"z[1,3]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.1043967669635,1000
"z[1,4]",0.000998003992015968,0.0315912011803282,0,0,0,0,0,1.29072446123633,1000
"z[1,5]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.29240053145899,500
"z[2,1]",0.000998003992015968,0.0315912011803282,0,0,0,0,0,1.29072446123633,1000
"z[2,2]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.1043967669635,1000
"z[2,3]",0.0029940119760479,0.0546628752823863,0,0,0,0,0,0.999498878428607,1000
"z[2,4]",0.00399201596806387,0.0630876523912842,0,0,0,0,0,1.02859268219776,1000
"z[2,5]",0.00399201596806387,0.0630876523912842,0,0,0,0,0,1.02859268219776,1000
"z[3,1]",0.0029940119760479,0.0546628752823863,0,0,0,0,0,1.13338957087242,1000
"z[3,2]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.1043967669635,1000
"z[3,3]",0.00499001996007984,0.0704987930420034,0,0,0,0,0,1.1159447943274,710
"z[3,4]",0.00399201596806387,0.0630876523912842,0,0,0,0,0,1.10491469372745,1000
"z[3,5]",0.0029940119760479,0.0546628752823863,0,0,0,0,0,1.13338957087242,1000
"z[4,1]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.1043967669635,1000
"z[4,2]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.1043967669635,1000
"z[4,3]",0.0029940119760479,0.0546628752823863,0,0,0,0,0,1.13338957087242,1000
"z[4,4]",0.00399201596806387,0.0630876523912842,0,0,0,0,0,1.02859268219776,1000
"z[4,5]",0.0029940119760479,0.0546628752823863,0,0,0,0,0,0.999498878428607,1000
"z[5,1]",0.0029940119760479,0.0546628752823863,0,0,0,0,0,1.13338957087242,1000
"z[5,2]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.29240053145899,500
"z[5,3]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.1043967669635,1000
"z[5,4]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.1043967669635,1000
"z[5,5]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.1043967669635,1000
"z[6,1]",0.000998003992015968,0.0315912011803282,0,0,0,0,0,1.29072446123633,1000
"z[6,2]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.29240053145899,500
"z[6,3]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.1043967669635,1000
"z[6,4]",0.000998003992015968,0.0315912011803282,0,0,0,0,0,1.29072446123633,1000
"z[6,5]",0.0029940119760479,0.0546628752823863,0,0,0,0,0,1.13338957087242,1000
"z[7,1]",0.00399201596806387,0.0630876523912842,0,0,0,0,0,1.10491469372745,1000
"z[7,2]",0.0029940119760479,0.0546628752823863,0,0,0,0,0,1.29408871357477,330
"z[7,3]",0.00399201596806387,0.0630876523912842,0,0,0,0,0,1.16633105223844,570
"z[7,4]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.29240053145899,500
"z[7,5]",0.000998003992015968,0.0315912011803282,0,0,0,0,0,1.29072446123633,1000
"z[8,1]",0,0,0,0,0,0,0,1,1
"z[8,2]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.1043967669635,1000
"z[8,3]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.1043967669635,1000
"z[8,4]",0.00399201596806387,0.0630876523912842,0,0,0,0,0,1.02859268219776,1000
"z[8,5]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.29240053145899,500
"z[9,1]",0.0029940119760479,0.0546628752823863,0,0,0,0,0,1.13338957087242,1000
"z[9,2]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.1043967669635,1000
"z[9,3]",0,0,0,0,0,0,0,1,1
"z[9,4]",0.000998003992015968,0.0315912011803282,0,0,0,0,0,1.29072446123633,1000
"z[9,5]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.1043967669635,1000
"z[10,1]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.1043967669635,1000
"z[10,2]",0.00499001996007984,0.0704987930420034,0,0,0,0,0,1.1159447943274,710
"z[10,3]",0.00499001996007984,0.0704987930420034,0,0,0,0,0,1.19045310192301,380
"z[10,4]",0.00598802395209581,0.0771888187663529,0,0,0,0,0,1.03820034565647,1000
"z[10,5]",0.0029940119760479,0.0546628752823863,0,0,0,0,0,0.999498878428607,1000
"z[11,1]",0.000998003992015968,0.0315912011803282,0,0,0,0,0,1.29072446123633,1000
"z[11,2]",0.0029940119760479,0.0546628752823863,0,0,0,0,0,1.13338957087242,1000
"z[11,3]",0.0029940119760479,0.0546628752823863,0,0,0,0,0,1.13338957087242,1000
"z[11,4]",0.00399201596806387,0.0630876523912842,0,0,0,0,0,1.02859268219776,1000
"z[11,5]",0.000998003992015968,0.0315912011803282,0,0,0,0,0,1.29072446123633,1000
"z[12,1]",0.0029940119760479,0.0546628752823863,0,0,0,0,0,0.999498878428607,1000
"z[12,2]",0.0029940119760479,0.0546628752823863,0,0,0,0,0,1.13338957087242,1000
"z[12,3]",0.00598802395209581,0.0771888187663529,0,0,0,0,0,0.999498878428607,1000
"z[12,4]",0.0029940119760479,0.0546628752823863,0,0,0,0,0,1.13338957087242,1000
"z[12,5]",0.00399201596806387,0.0630876523912842,0,0,0,0,0,1.02859268219776,1000
"z[13,1]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.29240053145899,500
"z[13,2]",0.000998003992015968,0.0315912011803282,0,0,0,0,0,1.29072446123633,1000
"z[13,3]",0.000998003992015968,0.0315912011803282,0,0,0,0,0,1.29072446123633,1000
"z[13,4]",0.000998003992015968,0.0315912011803282,0,0,0,0,0,1.29072446123633,1000
"z[13,5]",0.00199600798403194,0.0446543835481118,0,0,0,0,0,1.29240053145899,500
"z_fish[1]",0.0119760479041916,0.108832178064061,0,0,0,0,0,1.02904788128102,1000
"z_fish[2]",0.0119760479041916,0.108832178064061,0,0,0,0,0,1.00900007821543,1000
"z_fish[3]",0.0119760479041916,0.108832178064061,0,0,0,0,0,1.11535153104488,310
"z_fish[4]",0.00998003992015968,0.099450034145328,0,0,0,0,0,1.03248324291175,1000
"z_fish[5]",0.0129740518962076,0.113218897744779,0,0,0,0,0,1.03582643832424,990
"z_fish[6]",0.0119760479041916,0.108832178064061,0,0,0,0,0,1.08325684719013,440
"z_fish[7]",0.0139720558882236,0.117433387999103,0,0,0,0,0,1.03109272669164,1000
"z_fish[8]",0.0139720558882236,0.117433387999103,0,0,0,0,0,1.01637265967373,1000
"z_fish[9]",0.00798403193612774,0.0890404376952742,0,0,0,0,0,1.08864749021153,610
"z_fish[10]",0.0169660678642715,0.12920867604129,0,0,0,0,0,1.06848505510054,390
"z_fish[11]",0.0159680638722555,0.125414441735583,0,0,0,0,0,1.01234649883401,1000
"z_fish[12]",0.0189620758483034,0.13645914941631,0,0,0,0,0,1.00843577325185,1000
"z_fish[13]",0.00998003992015968,0.099450034145328,0,0,0,0,0,1.1286272169448,320
"deviance",0.181939887899142,0.888944086965474,-0.00000001331,-0.00000001331,-0.00000001331,-0.00000001331,2.331725,1.00459701287898,1000
